"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-06-30,93119,"79907","TX","El Paso","El Paso","El Paso",1038,89200,0.00677200902934537,0.0194285714285714,0.0408401400233372,0.00316891822802257,0.00158320584363958,"2009-09","2009-Q3",92500,-0.0356756756756757,"2009-01"
2017-06-30,84283,"60014","IL","Chicago","McHenry","Crystal Lake",1039,208500,0.00578871201157742,0.0215580597746203,0.0764068146618482,0.0591899762287083,-0.0162431493899267,"2007-03","2007-Q1",247000,-0.15587044534413,"2003-11"
2017-06-30,62118,"11432","NY","New York","Queens","New York",1040,689200,0.00598452780615968,0.0340585146286572,0.118468029860435,0.0857825343996308,0.0156450715108545,"2017-06","2017-Q2",689200,0,"2017-06"
2017-06-30,58371,"01453","MA","Worcester","Worcester","Leominster",1041,234700,0.00816151202749141,0.0120741699008193,0.0790804597701149,0.0517139903317809,-0.00736225598991869,"2006-05","2006-Q2",259700,-0.0962649210627647,"2004-07"
2017-06-30,70664,"29687","SC","Greenville","Greenville","Taylors",1042,161500,0.00560398505603985,0.0163624921334172,0.0709549071618037,0.0517336278819223,0.021229350311762,"2017-06","2017-Q2",161500,0,"2017-06"
2017-06-30,65570,"18702","PA","Scranton","Luzerne","Wilkes-Barre",1043,61100,0.00493421052631579,0.0200333889816361,0.0852575488454707,0.00164474573343143,-0.00991212104329775,"2009-01","2009-Q1",67700,-0.0974889217134417,"2006-08"
2017-06-30,96502,"91762","CA","Riverside","San Bernardino","Ontario",1044,389200,0.00335137922144883,0.0156576200417537,0.0630975143403442,0.109396663244449,-0.00337929358071953,"2006-06","2006-Q2",432600,-0.100323624595469,"2005-10"
2017-06-30,79416,"48843","MI","Detroit","Livingston","Howell",1045,236300,0.00638841567291312,0.0072463768115942,0.0859375,0.0805674261543632,0.0134243118550961,"2017-06","2017-Q2",236300,0,"2017-06"
2017-06-30,72397,"33068","FL","Miami-Fort Lauderdale","Broward","North Lauderdale",1046,177800,0.00965360590573538,0.0236039147956246,0.134652201659221,0.158778528315188,-0.0253287109198062,"2006-12","2006-Q4",242100,-0.265592730276745,"2005-03"
2017-06-30,92575,"78640","TX","Austin","Hays","Kyle",1047,184100,0.00326975476839237,0.0171270718232044,0.075978959672706,0.0714088747478474,0.0217219733092104,"2017-06","2017-Q2",184100,0,"2017-06"
2017-06-30,97471,"93906","CA","Salinas","Monterey","Salinas",1048,399100,0.00681130171543895,0.014489069649212,0.0919288645690834,0.139868087796343,-0.0280046205449104,"2006-05","2006-Q2",594200,-0.328340626051834,"2004-05"
2017-06-30,96510,"91770","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Rosemead",1049,552100,0.00181455271275631,0.0178834808259587,0.0658301158301158,0.0841577614389473,0.0130841333329694,"2017-06","2017-Q2",552100,0,"2017-06"
2017-06-30,98947,"96816","HI","Urban Honolulu","Honolulu","Honolulu",1050,1008700,-0.00375308641975309,-0.00453962301391493,0.027398655530658,0.0557921581771954,0.0265734545652603,"2017-04","2017-Q2",1013800,-0.00503057802327875,"2017-01"
2017-06-30,61153,"08724","NJ","New York","Ocean","Brick",1051,257700,-0.00232288037166086,-0.00731895223420647,0.0189798339264531,0.0326091732101781,-0.0161281789849812,"2006-07","2006-Q3",316900,-0.186809719154307,"2004-08"
2017-06-30,70758,"29910","SC","Hilton Head Island","Beaufort","Bluffton",1052,249800,0.00442299959790913,0.0179299103504482,0.0643374520664678,0.0640960178650243,-0.00291508233941096,"2007-01","2007-Q1",259100,-0.0358934774218449,"2006-03"
